company_name,date_certified,industry,industry_category,country,state,city,sector,size,website
Tiimely,2023-11-10,Other financial services,Financial & insurance activities,Australia,South Australia,ADELAIDE,Service,50-249,https://tiimely.com
Significa,2025-03-11,Computer programming services,"Information, communication & technology",Portugal,Porto,Porto,Service,10-49,https://significa.co/
Futurewhiz B.V.,2025-03-24,Educational support,Education,Netherlands The,North Holland,Amsterdam,Service,50-249,https://www.futurewhiz.com/
Dental Lace Inc,2024-05-10,Personal care products,Wholesale,United States,Maine,Cape Elizabeth,Wholesale/Retail,1-9,http://www.dentallace.com
Stand,2022-07-26,Advertising & market research,Professional & technical services,United Kingdom,London Borough of Camden,London,Service,10-49,www.thisisstand.com
Soubu Kensetsu,2023-11-13,Real estate development,"Real estate, design & building",Japan,Chiba Prefecture,Yachimata,Service with Significant Environmental Footprint,10-49,https://soubukensetsu.com/
Leufroy Limited,2024-05-07,Real estate- fee/contract,"Real estate, design & building",United Kingdom,Royal Borough of Kensington and Chelsea,London,Service,1-9,www.leufroy.com
MTIP AG,2024-04-11,Equity investing - Developed Markets,Financial & insurance activities,Switzerland,Basel-Stadt,Basel,Service,10-49,https://www.mtip.ch
"Affinity Web Development, LLC. DBA AVIBE",2023-11-13,Computer programming services,"Information, communication & technology",United States,Oregon,Portland,Service,10-49,www.avibeweb.com
Velo Coffee Roasters,2023-11-13,Beverages,Manufactured Goods,Ireland,County Cork,Mayfield,Manufacturing,10-49,velocoffee.ie
Ventegra,2023-11-14,Other human health,Human health & social work,United States,California,Glendale,Service,50-249,www.ventegra.com
Mission Control Ltd,2023-11-13,Arts & entertainment,"Arts, entertainment & recreation",United Kingdom,Somerset,Shepton Montague,Service,1-9,missioncontrolltd.com
FITFILE Group Limited,2024-05-03,Technology-based support services,Human health & social work,United Kingdom,City of Westminster,London,Service,1-9,https://fitfile.com/
Immobilier Carbonleo inc.,2023-07-31,Real estate development,"Real estate, design & building",Canada,Quebec,Mont-Royal,Service with Significant Environmental Footprint,50-249,https://www.carbonleo.com/
Wholehearted Business,2024-03-08,"Other professional, scientific & tech",Professional & technical services,United States,Oregon,Portland,Service,0,https://wholehearted-business.com
LiberEat ltd,2025-02-11,Technology-based support services,Human health & social work,United Kingdom,Aberdeen,Aberdeen,Service,1-9,www.libereat.com
Habitech - Il Distretto Energia Ambiente,2024-09-23,Environmental consulting,Professional & technical services,Italy,Trentino,Rovereto,Service,10-49,www.habitech.it
Williams Group,2023-12-18,Advertising & market research,Professional & technical services,United States,Michigan,Grand Rapids,Service,10-49,http://williams-group.com/
Carlotas,2023-03-24,Other education,Education,Brazil,São Paulo,São Paulo,Service,10-49,carlotas.com.br
Sowco A/S,2023-11-20,Food products,Wholesale,Denmark,Capital Region of Denmark,Skovlunde,Wholesale/Retail,1-9,www.sowco.dk
ekomia GmbH,2023-02-16,Furniture,Retail,Germany,Berlin,Berlin,Wholesale/Retail,1-9,ekomia.de
Ecorobotix SA,2023-02-09,Agricultural Processing,"Agriculture, forestry & fishing",Switzerland,Canton of Vaud,Yverdon-les-Bains,Manufacturing,10-49,www.ecorobotix.com
Big and Bold Ltd.,2024-09-23,Advertising & market research,Professional & technical services,United Kingdom,Belfast district,Belfast,Service,10-49,www.bigandbold.com
Veramed,2024-08-02,Medical & dental practice,Human health & social work,United Kingdom,London Borough of Richmond upon Thames,Twickenham,Service,250-999,www.veramed.co.uk
Huerta Coworking,2025-01-14,Other business support,Administrative & support services,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service with Significant Environmental Footprint,10-49,www.huertacoworking.com
Tiny Rebel,2024-04-24,Beverages,Manufactured Goods,United Kingdom,Wales,Newport,Manufacturing,50-249,tinyrebel.co.uk
sinba,2023-05-12,Waste collection,Waste Management & Recycling,Peru,Lima,Lima,Manufacturing,10-49,www.sinba.pe
The Anglesey Sea Salt Company,2023-07-29,Food products,Manufactured Goods,United Kingdom,Wales,Llanfairpwllgwyngyll,Manufacturing,10-49,www.halenmon.com
OHMG Brands Limited,2024-05-03,Beverages,Retail,United Kingdom,East Sussex,Forest Row,Wholesale/Retail,1-9,www.ohmgwater.com
Dataflex International B.V.,2022-12-23,Other/general wholesale trade,Wholesale,Netherlands The,South Holland,Krimpen aan den IJssel,Wholesale/Retail,10-49,www.dataflex-int.com
Umuntu,2025-04-08,"Other professional, scientific & tech",Professional & technical services,Uruguay,Montevideo Department,Montevideo,Service,1-9,umuntu.uy
Rally Assets,2025-03-18,Equity investing - Developed Markets,Financial & insurance activities,Canada,Ontario,Toronto,Service,10-49,www.rallyassets.com
Próxima Comunicación y Relaciones Públicas,2024-06-25,Advertising & market research,Professional & technical services,Costa Rica,San José Province,San José,Service,10-49,www.proximacomunicacion.com
Make The Change Pte Ltd,2023-11-20,Advertising & market research,Professional & technical services,Singapore,Central Singapore Community Development Council,Singapore,Service,10-49,www.makethechange.sg
PALO IT,2024-05-13,Software publishing and SaaS platforms,"Information, communication & technology",France,Île-de-France,Paris,Service,50-249,www.palo-it.com
Kindred Credit Union,2023-11-20,Deposit bank - Developed Markets,Financial & insurance activities,Canada,Ontario,Kitchener,Service,50-249,www.kindredcu.com
Tintoria P.A. Jacchetti srl Società Benefit,2023-01-29,Textiles,Manufactured Goods,Italy,Lombardy,Como,Manufacturing,10-49,www.tintoriajacchetti.it
Rise | Life-Centered Investments,2025-01-27,Other financial services,Financial & insurance activities,Brazil,São Paulo,São Paulo,Service,10-49,https://rise.investments/
PALO IT Lyon,2024-03-26,Other info service activities,"Information, communication & technology",France,Auvergne-Rhône-Alpes,Lyon,Service,10-49,www.palo-it.com/fr
Harper + Scott,2024-09-11,Other/general wholesale trade,Wholesale,United States,New York,New York,Wholesale/Retail,50-249,www.harperandscott.com
PALO IT Nantes,2024-03-20,Computer programming services,"Information, communication & technology",France,Pays de la Loire,NANTES,Service,10-49,www.palo-it.com/en
Drizzle Honey,2023-09-04,Food products,Wholesale,Canada,Alberta,Calgary,Wholesale/Retail,1-9,drizzlehoney.com
Forge Centre for Dignity-Driven Leadership,2023-11-20,Management consultant - nonprofits,Professional & technical services,Canada,Alberta,Calgary,Service,1-9,https://forgecentre.com/
Mediatel Limited t/a Adwanted UK,2025-02-03,Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,City of Westminster,London,Service,50-249,https://uk.adwanted.com/
Black Isle Brewing Co Ltd,2023-02-18,Beverages,Manufactured Goods,United Kingdom,Scotland,Black Isle,Manufacturing,50-249,www.blackislebrewery.com
GlobeScan Incorporated,2024-12-20,Advertising & market research,Professional & technical services,Canada,Ontario,Toronto,Service,10-49,www.globescan.com
"Nimble Group, LLC",2024-05-09,Employment placement & HR,Administrative & support services,United States,Maine,Cumberland,Service,1-9,www.nimblegroup.co
Bee Squared Apiaries,2022-12-06,Food products,Manufactured Goods,United States,Colorado,Berthoud,Manufacturing,1-9,bethsbees.com
Pulse,2023-03-10,Management consultant - for-profits,Professional & technical services,United Kingdom,City of Westminster,London,Service,1-9,www.pulsebrands.com
Galpão Cucina,2023-01-10,Food products,Manufactured Goods,Brazil,São Paulo,São Paulo,Manufacturing,1-9,www.galpaocucina.com.br
Loah Drinks Ltd,2023-09-05,Beverages,Retail,United Kingdom,City of London,London,Wholesale/Retail,1-9,www.loah.beer
Baxi Partnership Limited,2022-11-21,Management consultant - nonprofits,Professional & technical services,United Kingdom,London Borough of Southwark,London,Service,10-49,www.baxendale.co.uk
Reborn Electric,2024-07-22,Machinery & equipment,Manufactured Goods,Chile,O'Higgins,Rancagua,Manufacturing,50-249,www.rebornelectric.cl
BELGA SOLAR,2024-09-05,Solar power generation,"Energy, Heating & Cooling",Belgium,Namur,Baillonville,Manufacturing,10-49,www.belgasolar.com
SEC Newgate UK,2023-12-08,"Other professional, scientific & tech",Professional & technical services,United Kingdom,City of London,London,Service,50-249,www.secnewgate.co.uk
"Fallow, Field & Mason, public relations, communications & podcasting",2023-08-29,Other info service activities,"Information, communication & technology",United Kingdom,United Kingdom,London,Service,1-9,www.fallowfieldmason.com
Level Up Strategies,2024-05-21,"Other professional, scientific & tech",Professional & technical services,Canada,British Columbia,Kelowna,Service with Significant Environmental Footprint,1-9,www.levelupstrategies.com
Optima Energy Inc,2024-05-30,Other renewable energy installation,Energy,United States,California,Artesia,Service with Significant Environmental Footprint,10-49,www.opnrg.com
Kind Bag,2024-07-15,Apparel,Wholesale,United Kingdom,London Borough of Islington,London,Wholesale/Retail,1-9,www.kindbag.co
Bluesoup Communications,2024-05-03,Advertising & market research,Professional & technical services,United Kingdom,Devon,Bideford,Service,10-49,bluesoupagency.com
Millennium Care,2024-07-24,Residential elderly & disabled care,Human health & social work,United Kingdom,Lancashire,Chorley Rd,Service with Significant Environmental Footprint,50-249,www.millennium-care.co.uk
MEJDI Tours,2023-11-14,Travel agency & related,Administrative & support services,United States,Florida,Delray Beach,Service,1-9,www.mejditours.com
"Agenda, LLC",2021-02-09,Advertising & market research,Professional & technical services,United States,New Mexico,Albuquerque,Service,10-49,www.agenda-global.com
Royale Union Saint-Gilloise,2023-12-14,Sports clubs: prof & amateur,"Arts, entertainment & recreation",Belgium,Brussels-Capital Region,Brussels,Service with Significant Environmental Footprint,50-249,rusg.brussels/en/home-en
Y.O.U Underwear,2021-11-03,Apparel,Retail,United Kingdom,Oxfordshire,Oxford,Wholesale/Retail,1-9,www.youunderwear.com
Future Business Partnership,2023-11-14,Equity investing - Developed Markets,Financial & insurance activities,United Kingdom,United Kingdom,London,Service,1-9,https://www.futurebusinesspartnership.com/
The Coffee Collective A/S,2023-11-14,Beverages,Manufactured Goods,Denmark,Capital Region of Denmark,Frederiksberg,Manufacturing,50-249,www.coffeecollective.dk
AV1,2024-11-18,Other info service activities,"Information, communication & technology",Australia,New South Wales,Alexandria,Service,10-49,www.av1.com.au
GloryBee,2022-11-04,Food products,Manufactured Goods,United States,Oregon,Eugene,Manufacturing,50-249,www.GloryBee.com
Plongê,2021-11-29,Employment placement & HR,Administrative & support services,Brazil,São Paulo,São Paulo,Service,10-49,plonge.com.br
Trigon DM,2023-11-14,Other business support,Administrative & support services,United Kingdom,United Kingdom,London,Service,1-9,www.trigon-dm.com
The Earth Group,2025-02-14,Beverages,Wholesale,Canada,Alberta,Edmonton,Wholesale/Retail,1-9,www.earthgroup.org
"New Chapter, Inc",2022-04-29,Food products,Manufactured Goods,United States,Vermont,Brattleboro,Manufacturing,50-249,www.newchapter.com
London Law Collective,2023-07-31,Legal activities,Professional & technical services,United Kingdom,City of Westminster,London,Service,1-9,www.londonlawcollective.com
Massage Therapy Supply Outlet Ltd.,2024-10-10,Personal care products,Manufactured Goods,Canada,Alberta,Edmonton,Manufacturing,1-9,https://mtso.ab.ca/
FR Incorporadora,2024-03-20,Real estate development,"Real estate, design & building",Brazil,Goiás,Goiânia,Service with Significant Environmental Footprint,50-249,https://www.frincorporadora.com.br/
Nia Impact Capital,2025-01-27,Investment advising,Financial & insurance activities,United States,California,Oakland,Service,10-49,www.niaimpactcapital.com
Xeros Technology Group plc.,2023-08-22,Scientific R&D,Professional & technical services,United Kingdom,Rotherham,Rotherham,Service with Significant Environmental Footprint,10-49,https://www.xerostech.com/
LUM Transition,2024-10-04,Management consultant - for-profits,Professional & technical services,France,Paris,PARIS,Service,1-9,lum-transition.com
Imagro BV,2024-04-23,Management consultant - for-profits,Professional & technical services,Netherlands The,Limburg,Ottersum,Service,10-49,www.imagro.nl
Mesh Exchange (dba FoodMesh),2024-08-27,Software publishing and SaaS platforms,"Information, communication & technology",Canada,British Columbia,Vancouver,Service,1-9,foodmesh.ca
MedHaul,2021-02-16,Technology-based support services,Human health & social work,United States,Tennessee,Memphis,Service with Significant Environmental Footprint,1-9,www.gomedhaul.com
Cotswold Lakes Brew Co.,2024-10-02,Beverages,Manufactured Goods,United Kingdom,Gloucestershire,Cirencester,Manufacturing,1-9,www.cotswoldlakesbrew.co.uk
Joiin Ltd,2024-05-29,Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,Devon,Exeter,Service,1-9,www.joiin.co
Digital Days Inc.,2024-05-07,Other info service activities,"Information, communication & technology",Canada,Quebec,Montreal,Service,1-9,https://digitaldays.com/
KULA Foods,2024-05-10,Food products,Retail,Canada,British Columbia,Vancouver,Wholesale/Retail,1-9,http://www.kulakitchen.ca
INGENIERIA Y DESARROLLO SUSTENTA LIMITADA,2023-12-04,Transportation support,Transportation & storage,Chile,Valparaíso,San Felipe,Service with Significant Environmental Footprint,1-9,www.sustentaltda.cl
LastObject ApS,2022-07-20,Personal care products,Wholesale,Denmark,Capital Region of Denmark,Copenhagen S,Wholesale/Retail,1-9,www.lastobject.com
Madeblunt Limited,2024-03-05,Apparel,Wholesale,New Zealand,Auckland Region,Newmarket,Wholesale/Retail,10-49,www.bluntumbrellas.com
Montemar,2024-07-03,Accommodation,Accommodation & food service,Ecuador,Galápagos Province,"El Carmen, Isla Santa Cruz",Service with Significant Environmental Footprint,1-9,www.montemar.ec
Mesh Energy Ltd,2024-12-05,Engineering,Professional & technical services,United Kingdom,Surrey,Farnham,Service,10-49,www.mesh-energy.com
Wendy Morrison Design,2024-04-01,Textiles,Retail,United Kingdom,East Lothian,Musselburgh,Wholesale/Retail,1-9,www.wendymorrisondesign.com
Casa Molle,2022-04-18,Accommodation,Accommodation & food service,Chile,Coquimbo Region,Vicuña,Service with Significant Environmental Footprint,10-49,www.casamolle.cl
Davines Group,2023-11-09,Personal care products,Manufactured Goods,Italy,Emilia-Romagna,Parma,Manufacturing,250-999,www.davinesgroup.com/en
Swiss Capitals Group,2023-11-09,Real estate development,"Real estate, design & building",Peru,Lima,Lima,Service with Significant Environmental Footprint,50-249,www.swisscapitals.com
Setri Sustentabilidad BIC SAS,2023-11-09,Management consultant - for-profits,Professional & technical services,Colombia,Cundinamarca Department,Bogotá D.C.,Service,10-49,www.setri.com.co
Pro Solus,2023-11-09,Machinery & equipment,Manufactured Goods,Brazil,Paraná,Campo Mourão,Manufacturing,50-249,www.prosolus.com
Bhineka Rahsa Nusantara,2023-11-09,Other manufacturing,Manufactured Goods,Indonesia,West Java,Bandung,Manufacturing,10-49,https://www.rahsa.id
c|change,2023-11-10,Advertising & market research,Professional & technical services,United States,Illinois,Chicago,Service,10-49,cchangeinc.com
Creature & Co.,2023-06-07,Books or other media,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,https://www.creatureandcoagency.com/
CplusC Architects + Builders,2024-07-25,Design & building,"Real estate, design & building",Australia,New South Wales,Surry Hills,Service with Significant Environmental Footprint,10-49,www.cplusc.com.au
Stone Soup Consulting,2024-05-12,Management consultant - nonprofits,Professional & technical services,Portugal,Lisbon,Paco de Arcos,Service,10-49,www.stone-soup.net
Alex Begg Group Limited,2024-05-09,Apparel,Manufactured Goods,United Kingdom,Scotland,Ayr,Manufacturing,50-249,https://alex-begg.co.uk/
Girafon Bleu,2023-06-29,Apparel,Retail,France,Paris,Bagnolet,Wholesale/Retail,0,https://girafonbleu.com/
Tosla,2023-11-15,Food products,Manufactured Goods,Slovenia,Ajdovščina Municipality,Ajdovščina,Manufacturing,10-49,https://toslanutricosmetics.com/
Din4mo Participações S.A.,2022-06-07,Management consultant - for-profits,Professional & technical services,Brazil,São Paulo,Sao Paulo,Service,1-9,www.din4mo.com
ConnectFARM,2022-08-25,Environmental consulting,Professional & technical services,Brazil,Rio Grande do Sul,Porto Alegre,Service,10-49,www.connectfarm.com.br
The Workplace,2024-12-30,Membership organizations,Other services,United Kingdom,Gloucestershire,Gloucestershire,Service with Significant Environmental Footprint,1-9,theworkplace.network
BLK & Bold Specialty Beverages,2023-11-15,Beverages,Manufactured Goods,United States,Iowa,Des Moines,Manufacturing,10-49,www.blkandbold.com
Ethical Swag Inc.,2023-11-15,General retail via Internet,Retail,Canada,Nova Scotia,Sydney,Wholesale/Retail,10-49,https://www.ethicalswag.com/
O'Neill Vintners & Distillers,2022-05-16,Beverages,Manufactured Goods,United States,California,Parlier,Manufacturing,250-999,oneillwine.com
The Wander Project,2024-05-16,Management consultant - for-profits,Professional & technical services,United States,Washington,Spokane,Service,0,www.thewanderproject.com
PIE Strategy Limited,2022-02-11,Management consultant - for-profits,Professional & technical services,Hong Kong S.A.R.,Central and Western District,Hong Kong,Service,1-9,www.piestrategy.com
Blockforce,2024-05-17,Computer programming services,"Information, communication & technology",Brazil,São Paulo,São Paulo,Service,1-9,blockforce.in
"Orientea Enterprise Co., LTD.",2022-12-15,Cleaning products,Manufactured Goods,Taiwan,Taipei City,Taipei City,Manufacturing,50-249,www.chatzutang.com
Technicians For Sustainability,2023-11-27,Solar panel installation,Energy,United States,Arizona,Tucson,Service with Significant Environmental Footprint,50-249,www.tfssolar.com
Alberts,2021-05-10,Other personal services,Other services,Australia,New South Wales,Sydney,Service,10-49,www.alberts.co
MIKUNA,2024-10-24,Agricultural Processing,"Agriculture, forestry & fishing",United States,California,Santa Barbara,Agriculture/Growers,1-9,mikunafoods.com
Talkington Bates,2024-06-07,Event catering & related,Accommodation & food service,United Kingdom,Oxfordshire,Kirtlington,Service with Significant Environmental Footprint,50-249,https://www.talkingtonbates.co.uk/
Applied Research Creative Studio Ltd.,2022-08-09,Arts & entertainment,"Arts, entertainment & recreation",United Kingdom,City of Westminster,London,Service with Significant Environmental Footprint,1-9,www.a-r-c-s.co
MFM Holding Ltd,2024-04-11,Investment advising,Financial & insurance activities,United Kingdom,London Borough of Islington,London,Service,50-249,www.moneyfarm.com
The Surpluss Portal LLC,2024-05-08,Web portals,"Information, communication & technology",United Arab Emirates,Dubai,Dubai,Service,1-9,www.thesurpluss.com
Vicarious Partners Inc.,2024-05-16,Management consultant - nonprofits,Professional & technical services,United States,Maine,South Portland,Service,1-9,whitneyhess.com
Avery & Brown,2023-08-31,Management consultant - for-profits,Professional & technical services,United Kingdom,Surrey,Farnham,Service,1-9,www.averyandbrown.com
Nextview Holding BV,2024-06-12,Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Brabant,Eindhoven,Service,50-249,www.nextviewconsulting.com
SukkhaCitta,2025-01-30,Textiles,Retail,Indonesia,Jakarta,Jakarta,Wholesale/Retail,10-49,www.sukkhacitta.com
CRMpartners,2024-05-17,Software publishing and SaaS platforms,"Information, communication & technology",Italy,Lazio,Roma,Service,10-49,www.crmpartners.it
"Blue Earth Compost, Inc.",2025-02-22,Other retail sale,Retail,United States,Connecticut,Windsor,Wholesale/Retail,10-49,www.blueearthcompost.com
Icebug AB,2022-10-21,Apparel,Wholesale,Sweden,Västra Götaland,Jonsered,Wholesale/Retail,10-49,www.icebug.com
Cook Master,2024-05-14,Food products,Manufactured Goods,Argentina,Buenos Aires Province,Tigre,Manufacturing,250-999,https://cook-master.com.ar
Store Property Holdings Limited,2024-06-04,Real estate - leased property,"Real estate, design & building",United Kingdom,West Sussex,Chichester,Service,10-49,www.storeproperty.co.uk
ATI Holidays,2024-07-08,Other personal services,Other services,Namibia,Khomas Region,Windhoek,Service with Significant Environmental Footprint,10-49,www.ati-holidays.com
EXO Travel,2023-11-08,Other personal services,Other services,Thailand,Bangkok,Bangkok,Service,250-999,www.exotravel.com
Les comptoirs d'Orta,2023-11-08,Apparel,Manufactured Goods,Belgium,Brussels-Capital Region,Ixelles,Manufacturing,10-49,www.orta-store.com/fr
"Eco-Products, PBC",2023-11-09,Other/general wholesale trade,Wholesale,United States,Colorado,Boulder,Wholesale/Retail,50-249,www.ecoproducts.com
Sainty Hird & Partners Limited,2023-11-09,"Other professional, scientific & tech",Professional & technical services,United Kingdom,England,London,Service,10-49,www.saintyhird.com
BUDDY BUDDY,2023-11-08,Food products,Manufactured Goods,Belgium,Brussels-Capital Region,Brussels,Manufacturing,10-49,www.buddybuddy.bio
NuGreen Ltd,2023-11-08,Scientific R&D,Professional & technical services,United Kingdom,Cumbria,Kirkby Lonsdale,Service,1-9,www.nu-green.co.uk
Out Leadership,2023-11-08,Membership organizations,Other services,United States,New York,New York,Service,10-49,outleadership.com
Albert Heijn Nederland,2024-11-20,Food products,Retail,Netherlands The,North Holland,Zaandam,Wholesale/Retail,1000+,www.ah.nl
TCA,2024-05-15,Software publishing and SaaS platforms,"Information, communication & technology",Jersey,St Helier,Broad Street,Service,1-9,https://www.insiderlist.com
Ethical Profit Accounting Agency,2024-05-27,Accounting & auditing,Professional & technical services,Canada,Ontario,North York,Service,0,www.ethicalprofitagency.com
Purity Coffee,2024-10-24,Food products,Retail,United States,South Carolina,Greenville,Wholesale/Retail,10-49,www.puritycoffee.com
Bintang Capital Partners Berhad,2023-05-17,Equity investing - Emerging Markets,Financial & insurance activities,Malaysia,Kuala Lumpur,Kuala Lumpur,Service,10-49,https://www.bintangcapitalpartners.com/
TideSmart Global,2022-11-30,Other personal services,Other services,United States,Maine,Falmouth,Service with Significant Environmental Footprint,10-49,www.tidesmart.com
Full Circle Funerals,2021-11-08,Other human health,Human health & social work,United Kingdom,Leeds,Guiseley,Service,10-49,https://fullcirclefunerals.co.uk/funeral-directors-guiseley/
Cible,2024-05-21,Social networks & info sharing,"Information, communication & technology",Belgium,Liège,Barchon,Service,10-49,www.cible.be
Thrive Renewables plc,2024-04-15,Other renewable energy installation,Energy,United Kingdom,City of Bristol,Bristol,Service with Significant Environmental Footprint,10-49,https://www.thriverenewables.co.uk/
Austep Eco Pty Ltd,2022-07-25,Electrical equipment,Wholesale,Australia,Queensland,Pinkenba,Wholesale/Retail,1-9,www.austep.au
Energy Efficient Solutions Group,2023-11-27,Solar panel installation,Energy,United Kingdom,Bracknell Forest,Bracknell,Service with Significant Environmental Footprint,50-249,www.eesgroup.co.uk
Cause UK,2023-11-27,Other business support,Administrative & support services,United Kingdom,North Yorkshire,London,Service,1-9,https://www.causeuk.com/
Sinatur Hotel & Konference,2024-12-31,Accommodation,Accommodation & food service,Denmark,Region of Southern Denmark,Nyborg,Service with Significant Environmental Footprint,50-249,www.sinatur.dk
Wolf & Griffin,2024-06-24,Personal care products,Retail,United Kingdom,East Sussex,Hove,Wholesale/Retail,0,www.wolfandgriffin.com
Dort,2025-01-15,Advertising & market research,Professional & technical services,Australia,New South Wales,Surry Hills,Service,0,https://dort.com.au/
Jervis Bay Brewing Company,2024-10-01,Beverages,Manufactured Goods,Australia,New South Wales,Huskisson,Manufacturing,1-9,jervisbaybrewing.co
Revolution-ZERO Group Ltd,2023-12-15,Textiles,Wholesale,United Kingdom,Hampshire,Medstead,Wholesale/Retail,10-49,www.revolution-zero.com
HILANA,2024-02-02,Textiles,Retail,Chile,Santiago Metropolitan Region,Santiago,Wholesale/Retail,0,eco-hilana.com
alma-nac,2024-05-13,Architecture design & planning,"Real estate, design & building",United Kingdom,London Borough of Lambeth,London,Service,1-9,www.alma-nac.com
Corliss & Solomon,2024-04-22,Accounting & auditing,Professional & technical services,United States,North Carolina,Asheville,Service,10-49,https://www.notforprofits.cpa/
Fraenck,2022-01-28,Rubber & plastics products,Manufactured Goods,Netherlands The,Gelderland,Arnhem,Manufacturing,1-9,fraenck.com
Goodvest,2024-03-12,Investment advising,Financial & insurance activities,France,Île-de-France,Paris,Service,10-49,goodvest.fr
Ellie Air,2022-04-25,Jewelry & related articles,Manufactured Goods,United Kingdom,Dorset,Bridport,Manufacturing,0,www.ellieair.co.uk
Sousa Andrade Construtora e Incorporadora,2023-11-13,Civil engineering,"Real estate, design & building",Brazil,Goiás,GOIÂNIA,Service with Significant Environmental Footprint,50-249,www.sousaandrade.com.br
ADAPTOVATE,2024-10-11,Management consultant - for-profits,Professional & technical services,Australia,New South Wales,Sydney,Service,50-249,https://www.adaptovate.com/
Wild Nutrition Ltd,2024-08-06,Personal care products,Retail,United Kingdom,East Sussex,Lewes,Wholesale/Retail,50-249,www.wildnutrition.com
Blooming Haus,2023-09-22,Other retail sale,Retail,United Kingdom,London Borough of Wandsworth,London,Wholesale/Retail,10-49,www.bloominghaus.com
Sales Srl - Soc. Benefit,2022-01-14,Paper & paper products,Manufactured Goods,Italy,Metropolitan City of Turin,Rivoli,Manufacturing,10-49,www.salesspa.com
SparkOptimus,2024-02-26,Management consultant - for-profits,Professional & technical services,Netherlands The,North Holland,Amsterdam,Service,50-249,www.sparkoptimus.com
PKT1,2024-05-27,Postal & courier activities,Transportation & storage,Mexico,Sinaloa,"Ahome, Los Mochis",Service with Significant Environmental Footprint,50-249,enviospkt1.com
ContactCare,2023-11-19,Call centres,Administrative & support services,Netherlands The,Utrecht,Amersfoort,Service,50-249,www.contactcare.nl
Institute of Employability Professionals Ltd,2023-11-19,Employment placement & HR,Administrative & support services,United Kingdom,London Borough of Hackney,London,Service,1-9,www.myiep.uk
Kraft Bowls - Potes e Embalagens de Papel,2024-05-14,Paper & paper products,Manufactured Goods,Brazil,São Paulo,Sao Paulo,Manufacturing,10-49,www.kraftbowls.com.br
Halo,2022-08-03,Advertising & market research,Professional & technical services,United Kingdom,City of Bristol,Bristol,Service,10-49,halostudio.love
Envoys,2023-12-06,Other education,Education,United States,Virginia,McLean,Service,10-49,www.envoys.com
"Opticos Design, Inc.",2024-09-05,Architecture design & planning,"Real estate, design & building",United States,California,Berkeley,Service,10-49,opticosdesign.com
Bodega Cero,2024-08-15,Other retail sale,Retail,Mexico,Nuevo León,Monterrey,Wholesale/Retail,1-9,www.bodegacero.com
Sarsen Circle Holdings Ltd,2023-08-07,Technology-based support services,Human health & social work,United Kingdom,City of Westminster,London,Service,10-49,www.sarsen.com
Obelisk Legal Support Solutions Limited,2023-08-09,Legal activities,Professional & technical services,United Kingdom,City of London,London,Service,10-49,obelisksupport.com
Ozone Coffee Roasters International,2022-08-31,Food products,Manufactured Goods,New Zealand,Taranaki Region,New Plymouth,Manufacturing,50-249,www.ozonecoffee.co.nz
