company_name,date_certified,industry,industry_category,country,state,city,sector,size,website
Sarsen Circle Holdings Ltd,2023-08-07,Technology-based support services,Human health & social work,United Kingdom,City of Westminster,London,Service,10-49,www.sarsen.com
Mora Mora Life,2024-02-23,Event catering & related,Accommodation & food service,France,Île-de-France,Massy,Service with Significant Environmental Footprint,0,www.moramoralife.fr
House Collective Limited,2024-06-26,Accommodation,Accommodation & food service,United Kingdom,London Borough of Camden,London,Service,1-9,www.housecollective.com
FARMACIA A. COLUTTA DELLA DOTT.SSA ANTONELLA COLUTTA & C.,2024-05-17,Pharmaceutical products,Retail,Italy,Friuli-Venezia Giulia,udine,Wholesale/Retail,1-9,www.farmaciacolutta.it
Envopap Limited,2023-09-06,Paper & paper products,Retail,United Kingdom,United Kingdom,London,Wholesale/Retail,1-9,https://envopap.com
KoRo Handels GmbH,2024-06-28,Food products,Retail,Germany,Berlin,Berlin,Wholesale/Retail,50-249,koro.com
"Foods for Tomorrow, S.L",2024-12-02,Food products,Retail,Spain,Catalonia,Barcelona,Wholesale/Retail,50-249,heurafoods.com
Underprotection ApS,2024-05-17,Textiles,Retail,Denmark,Capital Region of Denmark,Copenhagen S,Wholesale/Retail,1-9,www.underprotection.eu
Brøchner Hotels  A/S,2024-05-17,Accommodation,Accommodation & food service,Denmark,Capital Region of Denmark,Kbh K,Service with Significant Environmental Footprint,50-249,www.brochner-hotels.dk
Zoku and Beyond BV,2022-04-26,Accommodation,Accommodation & food service,Netherlands The,North Holland,Amsterdam,Service with Significant Environmental Footprint,10-49,livezoku.com
Taylor Yates Ltd,2024-05-03,Leather & related products,Retail,United Kingdom,Antrim,Bushmills,Wholesale/Retail,1-9,www.tayloryates.com
Alpine,2024-05-16,Other retail sale,Retail,Netherlands The,Gelderland,Soesterberg,Wholesale/Retail,50-249,www.alpinehearingprotection.com
Blackacre,2024-06-05,Jewelry & related articles,Retail,United Kingdom,London Borough of Camden,London,Wholesale/Retail,1-9,https://www.blackacreldn.com/
Eremito,2024-05-17,Accommodation,Accommodation & food service,Italy,Umbria,Parrano,Service with Significant Environmental Footprint,1-9,www.eremito.com
Micro Scooters Ltd,2022-09-23,Games & toys,Retail,United Kingdom,Essex,Colchester,Wholesale/Retail,10-49,https://www.micro-scooters.co.uk/
Pangea Bio,2024-04-28,Other human health,Human health & social work,United Kingdom,London Borough of Camden,London,Service,10-49,https://www.pangeabio.com
SESSUN,2024-08-19,Apparel,Retail,France,Provence-Alpes-Côte d'Azur,Marseille,Wholesale/Retail,50-249,www.sessun.com
Oé,2024-05-27,Beverages,Retail,France,Rhône-Alpes,LYON 07,Wholesale/Retail,10-49,oeforgood.com
Bloom & Wild Group,2023-12-01,General retail via Internet,Retail,United Kingdom,London Borough of Lambeth,London,Wholesale/Retail,250-999,https://www.bloomandwild.com/
OMNES Europe Limited,2024-03-19,Apparel,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,https://www.omnes.com
CityHub Holding B.V.,2024-05-27,Accommodation,Accommodation & food service,Netherlands The,North Holland,Amsterdam,Service with Significant Environmental Footprint,10-49,https://cityhub.com
Eyespace Eyewear,2023-11-30,Apparel,Retail,United Kingdom,Worcestershire,Bromsgrove,Wholesale/Retail,10-49,www.eyespace-eyewear.co.uk
Absolute Collagen Group,2023-02-19,Personal care products,Retail,United Kingdom,London Borough of Southwark,London,Wholesale/Retail,10-49,www.absolutecollagen.com
Dr. Will's,2024-06-03,Food products,Retail,United Kingdom,Newcastle upon Tyne,Newcastle-Upon-Tyne,Wholesale/Retail,1-9,dr-wills.com
TENZING,2025-03-26,Beverages,Retail,United Kingdom,Norfolk,Norwich,Wholesale/Retail,10-49,tenzingnaturalenergy.com
Mindstep,2022-06-09,Technology-based support services,Human health & social work,United Kingdom,London Borough of Camden,London,Service,10-49,www.letsmindstep.com
NATURALIA,2025-01-30,Food products,Retail,France,Île-de-France,clichy,Wholesale/Retail,1000+,www.naturalia.fr
JoJo Maman Bébé,2024-06-06,Apparel,Retail,United Kingdom,Monmouthshire,Newport,Wholesale/Retail,250-999,www.jojomamanbebe.co.uk
Farmacie Fiorentine A.Fa.M. S.p.A,2024-12-18,Pharmaceutical products,Retail,Italy,Tuscany,Florence,Wholesale/Retail,50-249,https://www.farmaciecomunalifirenze.it
ExR Education,2025-03-15,Technology-based support services,Human health & social work,United Kingdom,London Borough of Lambeth,London,Service,1-9,exr.education
Miret d.o.o.,2023-12-19,Apparel,Retail,Croatia (Hrvatska),Karlovac County,Belajski Malinci,Wholesale/Retail,1-9,www.earthbound-sneakers.com
Fabricsmart t/a Scrummi,2022-09-27,Textiles,Retail,United Kingdom,Kent,West Malling,Wholesale/Retail,10-49,https://www.scrummi.com/
Gene Style LTD,2023-12-07,Apparel,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,1-9,www.loragene.com
Kekäle Oy,2023-12-14,Textiles,Retail,Finland,Eastern Finland Province,Joensuu,Wholesale/Retail,50-249,https://www.kekale.fi/
CNX Therapeutics Limited,2025-03-07,Other human health,Human health & social work,United Kingdom,London Borough of Camden,London,Service,10-49,https://www.cnx-therapeutics.com/
DIZY,2025-03-04,Furniture,Retail,France,Hauts-de-France,Roubaix,Wholesale/Retail,1-9,dizydesign.com
With Nothing Underneath,2022-06-02,Apparel,Retail,United Kingdom,London Borough of Wandsworth,London,Wholesale/Retail,1-9,withnothingunderneath.com
Good Brands DBA Typology,2024-06-18,Personal care products,Retail,France,Île-de-France,PARIS,Wholesale/Retail,10-49,www.typology.com
&Tradition,2024-10-14,Furniture,Retail,Denmark,Capital Region of Denmark,Copenhagen,Wholesale/Retail,50-249,https://www.andtradition.com/
Desmond & Dempsey,2023-12-15,Apparel,Retail,United Kingdom,London Borough of Lambeth,London,Wholesale/Retail,10-49,www.desmondanddempsey.com
Beyond Alcohol Ltd,2022-07-26,Beverages,Retail,United Kingdom,England,London,Wholesale/Retail,1-9,threespiritdrinks.com
FIP Organic Holding B.V.,2022-06-13,Personal care products,Retail,Netherlands The,Noord Holland,Amsterdam,Wholesale/Retail,1-9,www.yoni.care/en
Seabass Sustainable Fashion Coöperatie U.A,2024-10-11,Apparel,Retail,Netherlands The,South Holland,Rotterdam,Wholesale/Retail,1-9,www.seabass-official.com
THE PIG Hotels,2024-06-11,Accommodation,Accommodation & food service,United Kingdom,Hampshire,Hampshire,Service with Significant Environmental Footprint,250-999,https://www.thepighotel.com/
Rifo S.r.l.,2024-06-27,Apparel,Retail,Italy,Tuscany,Prato,Wholesale/Retail,10-49,www.rifo-lab.com
The Bshirt,2024-09-30,Apparel,Retail,United Kingdom,London Borough of Hillingdon,Pinner,Wholesale/Retail,1-9,WWW.THEBSHIRT.com
Griddle,2023-08-17,Food products,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,0,www.wearegriddle.com
ARTIEM Hotels,2023-12-21,Accommodation,Accommodation & food service,Spain,Balearic Islands,Mahón,Service with Significant Environmental Footprint,50-249,www.artiemhotels.com
Tenue Soleil B.V.,2022-11-11,Apparel,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,0,tenuesoleil.com
SunGod Ltd,2022-08-25,Sports goods,Retail,United Kingdom,Bedford,Bedford,Wholesale/Retail,10-49,www.sungod.co
Laie,2022-09-12,Books or other media,Retail,Spain,Catalonia,Barcelona,Wholesale/Retail,50-249,www.laie.es
The Uncommon,2021-12-09,Beverages,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,1-9,wearetheuncommon.co.uk
Cordusio Ltd,2024-05-30,Beverages,Retail,United Kingdom,Hampshire,"Farnborough, Hampshire",Wholesale/Retail,1-9,https://www.cordusiospirits.com/
After Noah Ltd,2023-12-22,General stores,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,10-49,www.afternoah.com
Brockmans Gin Ltd,2023-12-22,Beverages,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,www.brockmansgin.com
North Sails Apparel SPA Società Benefit,2021-06-29,Apparel,Retail,Italy,Liguria,Rapallo,Wholesale/Retail,50-249,northsails.com
Naturally Tribal Skincare Limited,2023-12-20,Personal care products,Retail,United Kingdom,Milton Keynes,Milton Keynes,Wholesale/Retail,1-9,naturallytiwaskincare.com
Chic des Plantes !,2025-03-07,Food products,Retail,France,Paris,Paris,Wholesale/Retail,1-9,www.chicdesplantes.fr
One Water (Global Ethics Limited),2021-12-01,Beverages,Retail,United Kingdom,Surrey,Richmond,Wholesale/Retail,1-9,onewater.org.uk
Root 7 Ltd,2024-06-16,Paper & paper products,Retail,United Kingdom,London Borough of Lambeth,London,Wholesale/Retail,1-9,www.bumboo.eco
Carley Coaching Ltd,2023-10-03,Other human health,Human health & social work,United Kingdom,Kent,Canterbury,Service,0,www.carleycoaching.com
Oppo Brothers Limited,2022-04-14,Food products,Retail,United Kingdom,London Borough of Lambeth,London,Wholesale/Retail,10-49,www.oppobrothers.com
Crisp,2024-06-24,Food products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,250-999,https://crisp.nl/
K A M P O S,2025-04-16,Textiles,Retail,Switzerland,canton of Zürich,Zurich,Wholesale/Retail,10-49,www.kampos.com
New Forest Escapes,2024-11-27,Accommodation,Accommodation & food service,United Kingdom,Hampshire,Lymington,Service,1-9,www.newforestescapes.com
Saturn Bioponics,2024-11-25,Machinery & equipment,Retail,United Kingdom,Birmingham,Birmingham,Wholesale/Retail,1-9,www.saturnbioponics.com
Rosa Blue Ltd,2024-07-09,Apparel,Retail,United Kingdom,Kent,Leigh,Wholesale/Retail,1-9,www.rosaandblue.com
VAIA SRL,2024-07-31,General retail via Internet,Retail,Italy,Trentino,BORGO VALSUGANA,Wholesale/Retail,1-9,https://www.vaia.eu/
LOYAL.E PARIS,2024-01-11,Jewelry & related articles,Retail,France,Île-de-France,Paris,Wholesale/Retail,1-9,www.loyaleparis.com
Madlug CIC,2024-12-11,Apparel,Retail,United Kingdom,Northern Ireland,Lisburn,Wholesale/Retail,1-9,www.madlug.com
Edgar Suites Groupe,2024-07-16,Accommodation,Accommodation & food service,France,Paris,Paris,Service with Significant Environmental Footprint,10-49,https://www.edgarsuites.com/
Seep Living Ltd,2025-04-08,Cleaning products,Retail,United Kingdom,London Borough of Hammersmith and Fulham,London,Wholesale/Retail,1-9,theseepcompany.com
Troubadour Goods Ltd,2025-03-10,Other retail sale,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,Troubadourgoods.com
The Whisky Stock Ltd,2024-01-17,Beverages,Retail,United Kingdom,Manchester,Greater Manchester,Wholesale/Retail,1-9,www.thewhiskystock.com
Beev,2024-12-10,Machinery & equipment,Retail,France,Île-de-France,Saint-Denis,Wholesale/Retail,10-49,https://beev.co/
Smile Together Dental CIC,2022-06-22,Medical & dental practice,Human health & social work,United Kingdom,Cornwall,Truro,Service with Significant Environmental Footprint,50-249,smiletogether.co.uk
Talk Works,2023-12-20,Other human health,Human health & social work,United Kingdom,Gateshead,Gateshead,Service,1-9,www.talk-works.org.uk
Lumity Life,2024-02-15,Personal care products,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,www.lumitylife.com
Kazidomi,2019-06-28,Food products,Retail,Belgium,Brussels-Capital Region,Woluwé Saint Lambert,Wholesale/Retail,10-49,www.kazidomi.com
Anglepoise,2024-01-29,Electrical equipment,Retail,United Kingdom,Hampshire,Denmead,Wholesale/Retail,10-49,www.anglepoise.com
Slowear,2024-08-22,Apparel,Retail,Italy,Veneto,Mira,Wholesale/Retail,50-249,slowear.com
Delft Imaging,2024-07-22,Medical & dental supplies,Retail,Netherlands The,North Brabant,'s-Hertogenbosch,Wholesale/Retail,50-249,www.delft.care
Chacun Son Café,2024-12-02,Beverages,Retail,France,Île-de-France,Paris,Wholesale/Retail,1-9,www.chacunsoncafe.fr
UKE HOME SOLUTIONS LTD,2024-08-01,General second-hand goods,Retail,United Kingdom,Halton,Widnes,Wholesale/Retail,10-49,www.rehome.co.uk
Tandem,2025-01-08,Other retail sale,Retail,France,Île-de-France,Paris,Wholesale/Retail,1-9,https://www.tandemcompany.fr/
Peppy,2022-02-14,Other human health,Human health & social work,United Kingdom,City of Westminster,London,Service,10-49,www.peppy.health
Holie's,2024-08-07,Food products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,1-9,www.holiefoods.com
"TERNUA GROUP, S.L.",2024-07-19,Apparel,Retail,Spain,Basque Country,Arrasate,Wholesale/Retail,50-249,www.ternuagroup.com
Oxfam Fair Trade,2024-12-09,Food products,Retail,Belgium,East Flanders,Ghent,Wholesale/Retail,10-49,https://www.oxfamfairtrade.be/
Prune Harris Ltd,2025-02-24,Other human health,Human health & social work,United Kingdom,Cornwall,Par,Service,1-9,www.pruneharris.com
Outwest Clothing,2024-02-06,Apparel,Retail,Ireland,County Kerry,Dingle,Wholesale/Retail,1-9,https://outwestclothing.ie/
"CANUSSA  EUROPE, S.L.",2022-06-08,Leather & related products,Retail,Spain,Valencia,Valencia,Wholesale/Retail,0,www.canussa.com
Farmacia degli Arsenali srl - S.B.,2024-08-14,Pharmaceutical products,Retail,Italy,Province of Salerno,Amalfi,Wholesale/Retail,1-9,www.farda.it
Matilda Goad & Co.,2024-02-16,General retail via Internet,Retail,United Kingdom,London Borough of Brent,London,Wholesale/Retail,1-9,https://matildagoad.com/
THE LONG RUN CLUB LTD,2024-12-04,Apparel,Retail,United Kingdom,Scotland,Carluke,Wholesale/Retail,0,https://www.long-run-club.com/
Hairlust,2024-08-20,Personal care products,Retail,Denmark,Capital Region of Denmark,Copenhagen,Wholesale/Retail,10-49,hairlust.com
Ohh Deer,2024-08-15,General retail via Internet,Retail,United Kingdom,Leicestershire,Loughborough,Wholesale/Retail,10-49,ohhdeer.com
Vee Collective GmbH,2024-06-27,Textiles,Retail,Germany,Berlin,Berlin,Wholesale/Retail,10-49,https://www.vee-collective.com/
Bemz AB,2024-02-28,Textiles,Retail,Sweden,Stockholm County,Stockholm,Wholesale/Retail,10-49,https://bemz.com
QWETCH,2022-08-19,Other retail sale,Retail,France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Wholesale/Retail,10-49,www.qwetch.com
Abiocom,2024-08-26,Personal care products,Retail,France,Occitania,La Salvetat Saint Gilles,Wholesale/Retail,10-49,www.nutrivie.com
FAGUO,2024-08-20,Apparel,Retail,France,Pays de la Loire,NANTES,Wholesale/Retail,50-249,www.faguo.fr
Good Tuesday,2024-02-02,Paper & paper products,Retail,United Kingdom,Cornwall,Zelah,Wholesale/Retail,1-9,www.goodtuesday.com
the nu company GmbH,2022-10-11,Food products,Retail,Germany,Saxony,Leipzig,Wholesale/Retail,50-249,www.nucao.com
The Wellbeing Farm Ltd,2022-03-22,Event catering & related,Accommodation & food service,United Kingdom,Lancashire,Bolton,Service with Significant Environmental Footprint,10-49,www.thewellbeingfarm.co.uk
Pépite Paris,2024-03-04,Event catering & related,Accommodation & food service,France,Paris,Paris,Service with Significant Environmental Footprint,1-9,www.pepite.paris
Chimney Fire Coffee,2022-07-27,Beverages,Retail,United Kingdom,Surrey,Dorking,Wholesale/Retail,1-9,www.chimneyfirecoffee.com
FSC Group Ltd,2024-09-24,Restaurants & food service,Accommodation & food service,United Kingdom,Somerset,Cheddar,Service,50-249,thefscgroup.com
Vestiaire Collective,2021-09-03,Apparel,Retail,France,Paris,Paris,Wholesale/Retail,250-999,https://www.vestiairecollective.com/
Tekla,2023-04-13,Textiles,Retail,Denmark,Capital Region of Denmark,Copenhagen,Wholesale/Retail,10-49,teklafabrics.com
Marie-Stella-Maris,2024-06-28,Personal care products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,10-49,https://marie-stella-maris.com/
Cornish Holiday Cottages,2024-08-24,Accommodation,Accommodation & food service,United Kingdom,Cornwall,FALMOUTH,Service,1-9,www.cornishholidaycottages.com
Benda Bili,2021-09-22,Apparel,Retail,France,Île-de-France,PARIS,Wholesale/Retail,250-999,www.sezane.com/fr
Private Sport Shop,2024-08-28,General retail via Internet,Retail,France,Languedoc-Roussillon,Vendargues,Wholesale/Retail,50-249,https://www.privatesportshop.fr/
ba&sh,2024-06-11,Textiles,Retail,France,Île-de-France,Paris,Wholesale/Retail,1000+,https://ba-sh.com/
Accouter Group of Companies,2023-01-05,Other retail sale,Retail,United Kingdom,City of London,London,Wholesale/Retail,50-249,www.agofc.com
The Alcohol Free Brewing Company Ltd. trading as UNLTD.,2024-01-30,Beverages,Retail,United Kingdom,Hertfordshire,Hertfordshire,Wholesale/Retail,1-9,www.unltd.beer
Knatchbull (Prev. The Deck London),2024-02-29,Apparel,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,https://www.knatchbull.com
Fearne and Rosie,2022-11-24,Food products,Retail,United Kingdom,North Yorkshire,Richmond,Wholesale/Retail,1-9,www.fearneandrosie.co.uk
Cygnes,2024-11-20,Textiles,Retail,France,Champagne-Ardenne,Reims,Wholesale/Retail,1-9,https://www.cygnes.co
Pip & Nut,2023-02-23,Food products,Retail,United Kingdom,London Borough of Tower Hamlets,London,Wholesale/Retail,10-49,www.pipandnut.com
Vebego Participatie,2022-08-02,Other human health,Human health & social work,Netherlands The,Limburg,Hoensbroek,Service,250-999,www.vebego.nl/participatie
Parogon Group,2024-06-20,Restaurants & food service,Accommodation & food service,United Kingdom,Staffordshire,Newcastle under Lyme,Service with Significant Environmental Footprint,250-999,parogongroup.co.uk
Priory Direct,2023-02-06,Other retail sale,Retail,United Kingdom,Kent,Aylesford,Wholesale/Retail,10-49,www.priorydirect.co.uk
Star Linen UK,2024-03-19,Other retail sale,Retail,United Kingdom,Caerphilly County Borough,Cardiff,Wholesale/Retail,10-49,star-linen.co.uk
Ana Dyla,2022-05-04,Jewelry & related articles,Retail,Netherlands The,Utrecht,Amersfoort,Wholesale/Retail,0,www.anadyla.com
CRANBOURN® (Holdings) Limited,2021-12-07,Personal care products,Retail,United Kingdom,London Borough of Wandsworth,London,Wholesale/Retail,0,www.cranbourn.com
Dream Act,2023-08-03,General retail via Internet,Retail,France,Île-de-France,Montreuil,Wholesale/Retail,10-49,dreamact.eu/fr
Analis,2024-03-27,Machinery & equipment,Retail,Belgium,Namur,Namur,Wholesale/Retail,50-249,www.analis.be
Sowvital Ltd,2023-04-20,Chemicals & chemical products,Retail,United Kingdom,City of London,London,Wholesale/Retail,1-9,www.sowvital.com
Made with Maude,2024-04-11,Beverages,Retail,Netherlands The,North Holland,Haarlem,Wholesale/Retail,0,www.madewithmaude.com
Here We Flo Ltd,2023-03-10,Personal care products,Retail,United Kingdom,England,London,Wholesale/Retail,10-49,www.hereweflo.co
Stand4 Socks,2023-02-15,Apparel,Retail,United Kingdom,United Kingdom,Manchester,Wholesale/Retail,1-9,www.stand4socks.com
SPAREKA,2023-04-28,Machinery & equipment,Retail,France,Paris,Montreuil,Wholesale/Retail,10-49,https://www.spareka.fr
Mojo Promotions Ltd,2024-12-04,General retail via Internet,Retail,United Kingdom,Leicestershire,Leicester,Wholesale/Retail,10-49,https://www.mojopromotions.co.uk/
OZOverbindzorg,2022-11-23,Technology-based support services,Human health & social work,Netherlands The,Overijssel,Zwolle,Service,1-9,www.ozoverbindzorg.nl
Raylo Group Ltd,2022-12-23,Electrical equipment,Retail,United Kingdom,City of London,London,Wholesale/Retail,50-249,www.raylo.com
UPSTRÖM ApS,2023-07-28,Computers & electronics,Retail,Denmark,Central Denmark Region,Gjern,Wholesale/Retail,0,www.upstrom.dk
Johnny Cashew Nederland BV,2023-05-12,Food products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,1-9,www.johnnycashew.com
Forte Organics Ltd,2022-01-07,Personal care products,Retail,United Kingdom,London,London,Wholesale/Retail,1-9,ireneforteskincare.com
SARL GALAAD,2023-07-12,Other retail sale,Retail,France,Paris,PARIS,Wholesale/Retail,50-249,www.maison-perceval.com
The Re-Pete Project Limited,2023-09-08,Apparel,Retail,United Kingdom,London Borough of Tower Hamlets,London,Wholesale/Retail,0,https://www.therepeteproject.com
Wilton Botanical Ltd,2024-04-08,Cleaning products,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,1-9,wiltonlondon.co.uk
Loft & Daughter,2023-09-13,Jewelry & related articles,Retail,United Kingdom,North Yorkshire,Malton,Wholesale/Retail,0,www.loftanddaughter.com
Blue Lagoon Iceland,2023-07-24,Accommodation,Accommodation & food service,Iceland,Southern Peninsula Region,Grindavík,Service with Significant Environmental Footprint,250-999,https://www.bluelagoon.com/
delilah cosmetics limited,2024-12-09,Other retail sale,Retail,United Kingdom,Buckinghamshire,MARLOW,Wholesale/Retail,1-9,https://delilahcosmetics.com/
MOYU B.V.,2023-07-24,Paper & paper products,Retail,Netherlands The,Utrecht,Utrecht,Wholesale/Retail,1-9,www.moyu.rocks
Impact products,2022-08-02,Other retail sale,Retail,France,Pays de la Loire,Nantes,Wholesale/Retail,1-9,www.zeste.fr
SMOON LINGERIE,2023-06-17,Apparel,Retail,France,Île-de-France,Paris,Wholesale/Retail,10-49,smoon-lingerie.com
YFood Labs GmbH,2023-08-21,Food products,Retail,Germany,Bavaria,Munich,Wholesale/Retail,50-249,www.yfood.eu
Wellworking Ltd,2023-08-01,Furniture,Retail,United Kingdom,London Borough of Ealing,London,Wholesale/Retail,10-49,www.wellworking.com
ARTAH,2023-10-18,Personal care products,Retail,United Kingdom,United Kingdom,London,Wholesale/Retail,1-9,artah.co
Luxury Cottages,2023-09-04,Accommodation,Accommodation & food service,United Kingdom,Birmingham,Birmingham,Service,10-49,luxurycottages.com
Inuka Coaching,2022-10-14,Other human health,Human health & social work,Netherlands The,Flevoland,almere,Service,10-49,www.inukacoaching.com
Zustaina BV,2023-04-28,Other retail sale,Retail,Netherlands The,South Holland,Vierpolders,Wholesale/Retail,1-9,www.zustainabox.nl
Unrooted Drinks,2023-09-25,Beverages,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,1-9,unrooteddrinks.com
Son of a Tailor,2022-07-21,Apparel,Retail,Denmark,Copenhagen,Copenhagen K,Wholesale/Retail,10-49,www.sonofatailor.com
OVUM,2024-02-29,Other retail sale,Retail,United Kingdom,England,BATH,Wholesale/Retail,0,startwithovum.com
ELEMIS,2023-01-17,Personal care products,Retail,United Kingdom,City of Bristol,Avonmouth,Wholesale/Retail,250-999,www.elemis.com
Mannion Daniels Limited,2020-12-01,Other human health,Human health & social work,United Kingdom,Somerset,Bath,Service,50-249,www.manniondaniels.com
recyclivre.com,2022-05-23,Books or other media,Retail,France,Paris,Paris,Wholesale/Retail,10-49,www.recyclivre.com
La Consignerie,2022-06-28,Food products,Retail,France,Nord-Pas-de-Calais,Lambersart,Wholesale/Retail,1-9,consignerie.com
Dial A Geek,2023-08-01,Computers & electronics,Retail,United Kingdom,City of Bristol,Bristol,Wholesale/Retail,1-9,www.dialageek.co.uk
TheOTCLab,2022-10-28,Personal care products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,1-9,www.theotclab.com
Progress Packaging Limited,2023-08-19,Paper & paper products,Retail,United Kingdom,Kirklees,"Shelley ,Huddersfield",Wholesale/Retail,1-9,www.progresspackaging.co.uk
Everything Seeds,2023-08-01,General retail via Internet,Retail,United Kingdom,Gloucestershire,Cheltenham,Wholesale/Retail,0,https://everythingseeds.co.uk
New Leaf Products Ltd,2024-11-20,Personal care products,Retail,United Kingdom,London Borough of Barnet,London,Wholesale/Retail,1-9,www.new-leaf-products.com
Relieve Group,2025-03-02,Furniture,Retail,Belgium,Brussels-Capital Region,Brussels,Wholesale/Retail,1-9,www.relievefurniture.com
De Groene Afslag Holding B.V.,2024-09-04,Event catering & related,Accommodation & food service,Netherlands The,North Holland,Laren,Service with Significant Environmental Footprint,10-49,www.degroeneafslag.nl
Beam Up Ltd,2022-12-09,Technology-based support services,Human health & social work,United Kingdom,City of London,London,Service,50-249,www.beam.org
LloydsDirect,2022-09-13,Pharmaceutical products,Retail,United Kingdom,Coventry,Coventry,Wholesale/Retail,50-249,lloydsdirect.co.uk
Twist Health Ltd,2023-04-24,Technology-based support services,Human health & social work,United Kingdom,Hampshire,Winchester,Service,1-9,https://www.twisthealth.tech/
Fenton,2024-11-08,Jewelry & related articles,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,www.fentonand.co
Votary Limited,2022-12-08,Personal care products,Retail,United Kingdom,Oxfordshire,Oxford,Wholesale/Retail,1-9,www.votary.co.uk
wilderoben,2025-04-22,Sports goods,Retail,Slovakia,Bratislava Region,Bratislava,Wholesale/Retail,1-9,wilderoben.com/en/for-our-forests
Thomas & Tate,2025-03-19,Restaurants & food service,Accommodation & food service,United Kingdom,Buckinghamshire,Amersham,Service with Significant Environmental Footprint,10-49,www.thomasandtate.com
The Happy Prize Company,2023-04-04,Other human health,Human health & social work,United Kingdom,Surrey,Caterham,Service,0,www.thehappyprizecompany.com
Seepje B.V.,2023-05-22,Cleaning products,Retail,Netherlands The,South Holland,Den Haag,Wholesale/Retail,10-49,www.seepje.nl
